PTS,REB,AST,STL,BLK
11.437544,18.343916,0,1.42045,2.527543
0,0,0,1.599464,4.021292
18.745934,16.430136,0,2.965741,2.975667
26.69739,27.145138,0,2.091567,5.573311
50.937386,37.044617,0,3.746073,1.204736
1.287292,0.373608,0,0.382548,12.251661
21.328445,20.372753,0,0.859527,9.253595
17.273638,27.580982,0,1.080303,6.747463
24.769812,28.672537,0,0,5.919084
42.699486,24.414867,0,2.032138,3.752991
14.980043,8.164846,0,2.291523,0.753052
9.398671,21.045246,0,1.14482,4.460189
31.648602,14.268886,0,0,9.980674
39.52742,9.918972,0,3.791029,0
21.890804,24.38518,0,1.170939,6.010999
26.429504,0,0,0.907972,2.932794
9.315242,3.399615,1.65684,2.007105,0
0,0,0,0.221985,0.960178
19.530247,26.722099,0,0.949099,5.095974
30.954979,0,0,0.437978,2.573066
40.952053,46.80547,0,2.000885,4.553753
9.604193,12.20688,0,2.514595,3.796889
9.484129,10.307796,0,2.52789,1.020263
17.969759,32.537643,0,1.811618,4.708961
14.16353,22.017607,0,2.792742,1.645986
35.527977,6.873752,0,3.099838,0.814834
27.377796,22.685955,0,2.927051,3.922542
52.392063,54.901886,0,2.828291,3.886862
20.803652,45.635494,0,2.958419,3.655202
20.986712,16.412479,0,0.518825,3.23484
7.221334,22.414946,0,0.173446,4.322014
